Document,Model,Evaluation_Mode,Overall_Precision,Overall_Recall,Overall_F1,Total_TP,Total_FP,Total_FN,Total_Gold,Total_Predicted
SIDOROVA v. RUSSIA,gemma3:1b,Lenient,0.167,0.056,0.083,3,15,51,54,18
SIDOROVA v. RUSSIA,gemma3:1b,Strict,0.167,0.056,0.083,3,15,51,54,18
SIDOROVA v. RUSSIA,gemma3:4b,Lenient,0.231,0.056,0.090,3,10,51,54,13
SIDOROVA v. RUSSIA,gemma3:4b,Strict,0.154,0.037,0.060,2,11,52,54,13
SIDOROVA v. RUSSIA,gemma3:12b,Lenient,0.444,0.148,0.222,8,10,46,54,18
SIDOROVA v. RUSSIA,gemma3:12b,Strict,0.278,0.093,0.139,5,13,49,54,18
SIDOROVA v. RUSSIA,llama3.3:latest,Lenient,0.556,0.093,0.159,5,4,49,54,9
SIDOROVA v. RUSSIA,llama3.3:latest,Strict,0.444,0.074,0.127,4,5,50,54,9
SIDOROVA v. RUSSIA,deepseek-r1:8b,Lenient,1.000,0.037,0.071,2,0,52,54,2
SIDOROVA v. RUSSIA,deepseek-r1:8b,Strict,0.500,0.019,0.036,1,1,53,54,2
SIDOROVA v. RUSSIA,mistral:latest,Lenient,0.263,0.185,0.217,10,28,44,54,38
SIDOROVA v. RUSSIA,mistral:latest,Strict,0.184,0.130,0.152,7,31,47,54,38
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.200,0.019,0.034,1,4,53,54,5
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,5,54,54,5
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.625,0.093,0.161,5,3,49,54,8
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.250,0.037,0.065,2,6,52,54,8
SIDOROVA v. RUSSIA,mixtral:8x7b,Lenient,0.703,0.481,0.571,26,11,28,54,37
SIDOROVA v. RUSSIA,mixtral:8x7b,Strict,0.432,0.296,0.352,16,21,38,54,37
SIDOROVA v. RUSSIA,dolphin3:8b,Lenient,0.000,0.000,0.000,0,0,54,54,0
SIDOROVA v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,0,54,54,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Lenient,0.167,0.055,0.082,3,15,52,55,18
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Strict,0.167,0.055,0.082,3,15,52,55,18
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Lenient,0.500,0.127,0.203,7,7,48,55,14
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Strict,0.143,0.036,0.058,2,12,53,55,14
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Lenient,0.767,0.418,0.541,23,7,32,55,30
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Strict,0.500,0.273,0.353,15,15,40,55,30
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Lenient,0.700,0.509,0.589,28,12,27,55,40
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Strict,0.400,0.291,0.337,16,24,39,55,40
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Lenient,0.800,0.073,0.133,4,1,51,55,5
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Strict,0.400,0.036,0.067,2,3,53,55,5
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Lenient,0.579,0.200,0.297,11,8,44,55,19
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Strict,0.421,0.145,0.216,8,11,47,55,19
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Lenient,0.581,0.327,0.419,18,13,37,55,31
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Strict,0.355,0.200,0.256,11,20,44,55,31
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Lenient,0.444,0.073,0.125,4,5,51,55,9
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Strict,0.444,0.073,0.125,4,5,51,55,9
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Lenient,1.000,0.036,0.070,2,0,53,55,2
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Strict,1.000,0.036,0.070,2,0,53,55,2
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Lenient,0.250,0.018,0.034,1,3,54,55,4
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Strict,0.000,0.000,0.000,0,4,55,55,4
MOSKALEV v. RUSSIA,gemma3:1b,Lenient,0.087,0.159,0.113,7,73,37,44,80
MOSKALEV v. RUSSIA,gemma3:1b,Strict,0.050,0.091,0.065,4,76,40,44,80
MOSKALEV v. RUSSIA,gemma3:4b,Lenient,0.395,0.341,0.366,15,23,29,44,38
MOSKALEV v. RUSSIA,gemma3:4b,Strict,0.289,0.250,0.268,11,27,33,44,38
MOSKALEV v. RUSSIA,gemma3:12b,Lenient,0.722,0.295,0.419,13,5,31,44,18
MOSKALEV v. RUSSIA,gemma3:12b,Strict,0.611,0.250,0.355,11,7,33,44,18
MOSKALEV v. RUSSIA,llama3.3:latest,Lenient,0.000,0.000,0.000,0,0,44,44,0
MOSKALEV v. RUSSIA,llama3.3:latest,Strict,0.000,0.000,0.000,0,0,44,44,0
MOSKALEV v. RUSSIA,deepseek-r1:8b,Lenient,0.118,0.136,0.126,6,45,38,44,51
MOSKALEV v. RUSSIA,deepseek-r1:8b,Strict,0.059,0.068,0.063,3,48,41,44,51
MOSKALEV v. RUSSIA,mistral:latest,Lenient,0.444,0.455,0.449,20,25,24,44,45
MOSKALEV v. RUSSIA,mistral:latest,Strict,0.289,0.295,0.292,13,32,31,44,45
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.333,0.023,0.043,1,2,43,44,3
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,3,44,44,3
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.647,0.250,0.361,11,6,33,44,17
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.235,0.091,0.131,4,13,40,44,17
MOSKALEV v. RUSSIA,mixtral:8x7b,Lenient,0.462,0.409,0.434,18,21,26,44,39
MOSKALEV v. RUSSIA,mixtral:8x7b,Strict,0.154,0.136,0.145,6,33,38,44,39
MOSKALEV v. RUSSIA,dolphin3:8b,Lenient,1.000,0.023,0.044,1,0,43,44,1
MOSKALEV v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,44,44,1
PANYUSHKINY v. RUSSIA,gemma3:1b,Lenient,0.538,0.217,0.309,28,24,101,129,52
PANYUSHKINY v. RUSSIA,gemma3:1b,Strict,0.442,0.178,0.254,23,29,106,129,52
PANYUSHKINY v. RUSSIA,gemma3:4b,Lenient,0.676,0.372,0.480,48,23,81,129,71
PANYUSHKINY v. RUSSIA,gemma3:4b,Strict,0.507,0.279,0.360,36,35,93,129,71
PANYUSHKINY v. RUSSIA,gemma3:12b,Lenient,0.785,0.395,0.526,51,14,78,129,65
PANYUSHKINY v. RUSSIA,gemma3:12b,Strict,0.631,0.318,0.423,41,24,88,129,65
PANYUSHKINY v. RUSSIA,llama3.3:latest,Lenient,0.804,0.287,0.423,37,9,92,129,46
PANYUSHKINY v. RUSSIA,llama3.3:latest,Strict,0.674,0.240,0.354,31,15,98,129,46
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Lenient,0.714,0.116,0.200,15,6,114,129,21
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Strict,0.429,0.070,0.120,9,12,120,129,21
PANYUSHKINY v. RUSSIA,mistral:latest,Lenient,0.455,0.581,0.510,75,90,54,129,165
PANYUSHKINY v. RUSSIA,mistral:latest,Strict,0.321,0.411,0.361,53,112,76,129,165
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.643,0.349,0.452,45,25,84,129,70
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.600,0.326,0.422,42,28,87,129,70
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.500,0.016,0.030,2,2,127,129,4
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.500,0.016,0.030,2,2,127,129,4
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Lenient,0.000,0.000,0.000,0,0,129,129,0
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Strict,0.000,0.000,0.000,0,0,129,129,0
PANYUSHKINY v. RUSSIA,dolphin3:8b,Lenient,1.000,0.008,0.015,1,0,128,129,1
PANYUSHKINY v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,129,129,1
SOLCAN v. ROMANIA,gemma3:1b,Lenient,0.517,0.273,0.357,15,14,40,55,29
SOLCAN v. ROMANIA,gemma3:1b,Strict,0.517,0.273,0.357,15,14,40,55,29
SOLCAN v. ROMANIA,gemma3:4b,Lenient,0.625,0.182,0.282,10,6,45,55,16
SOLCAN v. ROMANIA,gemma3:4b,Strict,0.375,0.109,0.169,6,10,49,55,16
SOLCAN v. ROMANIA,gemma3:12b,Lenient,0.829,0.527,0.644,29,6,26,55,35
SOLCAN v. ROMANIA,gemma3:12b,Strict,0.771,0.491,0.600,27,8,28,55,35
SOLCAN v. ROMANIA,llama3.3:latest,Lenient,0.651,0.509,0.571,28,15,27,55,43
SOLCAN v. ROMANIA,llama3.3:latest,Strict,0.558,0.436,0.490,24,19,31,55,43
SOLCAN v. ROMANIA,deepseek-r1:8b,Lenient,0.091,0.073,0.081,4,40,51,55,44
SOLCAN v. ROMANIA,deepseek-r1:8b,Strict,0.045,0.036,0.040,2,42,53,55,44
SOLCAN v. ROMANIA,mistral:latest,Lenient,0.390,0.582,0.467,32,50,23,55,82
SOLCAN v. ROMANIA,mistral:latest,Strict,0.329,0.491,0.394,27,55,28,55,82
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Lenient,0.583,0.382,0.462,21,15,34,55,36
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Strict,0.528,0.345,0.418,19,17,36,55,36
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.846,0.200,0.324,11,2,44,55,13
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Strict,0.769,0.182,0.294,10,3,45,55,13
SOLCAN v. ROMANIA,mixtral:8x7b,Lenient,0.556,0.182,0.274,10,8,45,55,18
SOLCAN v. ROMANIA,mixtral:8x7b,Strict,0.222,0.073,0.110,4,14,51,55,18
SOLCAN v. ROMANIA,dolphin3:8b,Lenient,0.000,0.000,0.000,0,0,55,55,0
SOLCAN v. ROMANIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,0,55,55,0
ALTAY v. TURKEY (No. 2),gemma3:1b,Lenient,0.182,0.066,0.097,6,27,85,91,33
ALTAY v. TURKEY (No. 2),gemma3:1b,Strict,0.182,0.066,0.097,6,27,85,91,33
ALTAY v. TURKEY (No. 2),gemma3:4b,Lenient,0.455,0.220,0.296,20,24,71,91,44
ALTAY v. TURKEY (No. 2),gemma3:4b,Strict,0.318,0.154,0.207,14,30,77,91,44
ALTAY v. TURKEY (No. 2),gemma3:12b,Lenient,0.629,0.429,0.510,39,23,52,91,62
ALTAY v. TURKEY (No. 2),gemma3:12b,Strict,0.484,0.330,0.392,30,32,61,91,62
ALTAY v. TURKEY (No. 2),llama3.3:latest,Lenient,0.000,0.000,0.000,0,0,91,91,0
ALTAY v. TURKEY (No. 2),llama3.3:latest,Strict,0.000,0.000,0.000,0,0,91,91,0
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Lenient,0.230,0.154,0.184,14,47,77,91,61
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Strict,0.213,0.143,0.171,13,48,78,91,61
ALTAY v. TURKEY (No. 2),mistral:latest,Lenient,0.460,0.319,0.377,29,34,62,91,63
ALTAY v. TURKEY (No. 2),mistral:latest,Strict,0.413,0.286,0.338,26,37,65,91,63
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Lenient,0.580,0.319,0.411,29,21,62,91,50
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Strict,0.560,0.308,0.397,28,22,63,91,50
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Lenient,0.467,0.077,0.132,7,8,84,91,15
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Strict,0.400,0.066,0.113,6,9,85,91,15
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Lenient,0.410,0.176,0.246,16,23,75,91,39
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Strict,0.154,0.066,0.092,6,33,85,91,39
ALTAY v. TURKEY (No. 2),dolphin3:8b,Lenient,0.000,0.000,0.000,0,0,91,91,0
ALTAY v. TURKEY (No. 2),dolphin3:8b,Strict,0.000,0.000,0.000,0,0,91,91,0
H_INESS v. NORWAY (1),gemma3:1b,Lenient,0.000,0.000,0.000,0,0,127,127,0
H_INESS v. NORWAY (1),gemma3:1b,Strict,0.000,0.000,0.000,0,0,127,127,0
H_INESS v. NORWAY (1),gemma3:4b,Lenient,0.138,0.118,0.127,15,94,112,127,109
H_INESS v. NORWAY (1),gemma3:4b,Strict,0.092,0.079,0.085,10,99,117,127,109
H_INESS v. NORWAY (1),gemma3:12b,Lenient,0.542,0.102,0.172,13,11,114,127,24
H_INESS v. NORWAY (1),gemma3:12b,Strict,0.417,0.079,0.132,10,14,117,127,24
H_INESS v. NORWAY (1),llama3.3:latest,Lenient,0.125,0.008,0.015,1,7,126,127,8
H_INESS v. NORWAY (1),llama3.3:latest,Strict,0.125,0.008,0.015,1,7,126,127,8
H_INESS v. NORWAY (1),deepseek-r1:8b,Lenient,0.571,0.031,0.060,4,3,123,127,7
H_INESS v. NORWAY (1),deepseek-r1:8b,Strict,0.429,0.024,0.045,3,4,124,127,7
H_INESS v. NORWAY (1),mistral:latest,Lenient,0.339,0.307,0.322,39,76,88,127,115
H_INESS v. NORWAY (1),mistral:latest,Strict,0.261,0.236,0.248,30,85,97,127,115
H_INESS v. NORWAY (1),incept5/llama3.1-claude:latest,Lenient,0.538,0.055,0.100,7,6,120,127,13
H_INESS v. NORWAY (1),incept5/llama3.1-claude:latest,Strict,0.385,0.039,0.071,5,8,122,127,13
H_INESS v. NORWAY (1),chevalblanc/claude-3-haiku:latest,Lenient,0.769,0.079,0.143,10,3,117,127,13
H_INESS v. NORWAY (1),chevalblanc/claude-3-haiku:latest,Strict,0.538,0.055,0.100,7,6,120,127,13
H_INESS v. NORWAY (1),mixtral:8x7b,Lenient,0.143,0.016,0.028,2,12,125,127,14
H_INESS v. NORWAY (1),mixtral:8x7b,Strict,0.071,0.008,0.014,1,13,126,127,14
