Model,Annotation_Type,Evaluation_Mode,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Gold_Count,Predicted_Count
chevalblanc/claude-3-haiku:latest,Event,Lenient,0.703,0.191,0.301,78,33,330,408,111
chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.135,0.017,0.031,7,45,395,402,52
chevalblanc/claude-3-haiku:latest,Event_when,Lenient,0.857,0.170,0.284,60,10,292,352,70
chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.800,0.048,0.090,24,6,479,503,30
chevalblanc/claude-3-haiku:latest,OVERALL,Lenient,0.643,0.102,0.175,169,94,1496,1665,263
chevalblanc/claude-3-haiku:latest,Event,Strict,0.577,0.157,0.247,64,47,344,408,111
chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.077,0.010,0.018,4,48,398,402,52
chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.714,0.142,0.237,50,20,302,352,70
chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.333,0.020,0.038,10,20,493,503,30
chevalblanc/claude-3-haiku:latest,OVERALL,Strict,0.487,0.077,0.133,128,135,1537,1665,263
deepseek-r1:8b,Event,Lenient,0.416,0.230,0.297,94,132,314,408,226
deepseek-r1:8b,Event_who,Lenient,0.148,0.020,0.035,8,46,394,402,54
deepseek-r1:8b,Event_when,Lenient,0.575,0.185,0.280,65,48,287,352,113
deepseek-r1:8b,Event_what,Lenient,0.667,0.048,0.089,24,12,479,503,36
deepseek-r1:8b,OVERALL,Lenient,0.445,0.115,0.182,191,238,1474,1665,429
deepseek-r1:8b,Event,Strict,0.323,0.179,0.230,73,153,335,408,226
deepseek-r1:8b,Event_who,Strict,0.056,0.007,0.013,3,51,399,402,54
deepseek-r1:8b,Event_when,Strict,0.451,0.145,0.219,51,62,301,352,113
deepseek-r1:8b,Event_what,Strict,0.361,0.026,0.048,13,23,490,503,36
deepseek-r1:8b,OVERALL,Strict,0.326,0.084,0.134,140,289,1525,1665,429
dolphin3:8b,Event,Lenient,0.589,0.105,0.179,43,30,365,408,73
dolphin3:8b,Event_who,Lenient,0.071,0.005,0.009,2,26,400,402,28
dolphin3:8b,Event_when,Lenient,0.846,0.062,0.116,22,4,330,352,26
